brand,n_products,n_in_stock,median_price,min_price,max_price
Amul,198,85,99.5,10.0,700.0
Whole Farm,189,123,70.0,15.0,526.0
Voylla,188,14,359.0,139.0,1699.0
Tekcool,178,102,349.0,165.0,1999.0
Freshbury,176,89,68.0,14.0,296.0
Designs & You,174,22,329.0,199.0,2459.0
Edel,155,98,219.0,59.0,619.0
FunBlast,154,58,299.0,139.0,1999.0
Haldiram's,140,72,80.0,20.0,682.0
MARS Cosmetics,137,105,196.0,59.0,1305.0
Penguin Publishers,134,7,299.0,79.0,1199.0
GUBB,131,63,179.0,62.0,999.0
Satyam Kraft,130,20,299.0,99.0,1200.0
Vembley,127,41,379.0,199.0,2499.0
GIVA,111,14,1869.0,509.0,8399.0
Lifelong,110,15,536.5,59.0,4999.0
HomeEssentials,101,43,689.0,269.0,2999.0
Tata Sampann,101,61,99.0,32.0,903.0
Habere India,100,11,599.0,149.0,5599.0
Jewels Galaxy,99,8,329.0,199.0,1499.0
Salty,96,4,599.0,229.0,1419.0
Swiss Beauty,95,59,261.0,65.0,808.0
boAt,95,14,1599.0,122.0,14990.0
Boldfit,91,13,399.0,99.0,1999.0
DailyObjects,91,16,1499.0,213.0,7499.0
Carlton London,90,22,799.0,379.0,5490.0
Faces Canada,89,73,189.0,89.0,849.0
YouBella,89,11,349.0,139.0,3399.0
RENEE,85,53,400.0,89.0,1500.0
Slainte,81,54,399.0,179.0,1999.0
Catch,80,56,75.0,15.0,262.0
Tied Ribbons,79,4,399.0,199.0,3749.0
Sohum,78,28,109.0,19.0,549.0
Gleva,77,14,209.0,139.0,749.0
Longway,77,9,1249.0,249.0,9781.0
ServDharm,77,31,89.0,31.0,1499.0
Slovic,77,25,349.0,180.0,2399.0
,74,39,42.0,13.0,300.0
Party Propz,74,11,149.0,43.0,999.0
Fablue,72,40,299.0,175.0,1195.0
Minimalist,72,52,584.0,199.0,1079.0
Jockey,70,8,499.0,159.0,1119.0
L'Oreal Paris,69,41,405.0,143.0,1838.0
Mother Dairy,69,28,38.0,10.0,645.0
Panash,69,6,789.0,249.0,3749.0
Let's Try,68,48,85.5,30.0,390.0
Portronics,68,9,481.5,99.0,8999.0
DesiDiya,67,17,409.0,161.0,4999.0
Palmonas,67,6,1259.0,669.0,3226.0
Shanya,66,40,199.0,99.0,999.0
Wonder House,66,3,151.0,49.0,1499.0
Zedak,66,25,299.0,189.0,845.0
Kidology,65,37,299.0,99.0,998.0
Vega,65,40,199.0,85.0,2699.0
Multibrite,64,21,199.0,139.0,399.0
Auradecor,62,12,279.0,59.0,3499.0
Lakme,61,41,262.0,105.0,1080.0
Noise,61,4,1799.0,999.0,7999.0
Yu,61,29,95.0,30.0,274.0
RiteBite,59,21,110.0,45.0,672.0
Shubh,59,0,69.0,29.0,199.0
Wazdorf,58,22,249.0,179.0,699.0
Farmley,57,26,169.0,29.0,1003.0
Flyngo,57,19,455.0,199.0,1499.0
Bianca,56,0,1099.0,179.0,3399.0
Happilo,56,22,301.0,37.0,1203.0
Miss Nails,56,45,235.0,99.0,1039.0
HashWOW,55,12,559.0,99.0,7999.0
Pepe Jeans Innerfashion,55,0,499.0,181.0,2299.0
Paper Boat,54,37,59.0,40.0,1259.0
The Baker's Dozen,54,29,89.0,33.0,214.0
Ekhasa,53,7,499.0,249.0,2999.0
Haus & Kinder,52,14,1099.0,249.0,2599.0
Nautica,52,8,1999.0,709.0,10999.0
ReeQ,52,11,479.0,199.0,1999.0
4700BC,51,21,54.0,27.0,776.0
Unigen,51,32,499.0,159.0,1999.0
Paperpep,50,16,99.0,69.0,260.0
Adidas,49,3,1239.0,179.0,7999.0
Dettol,49,26,152.0,34.0,387.0
Insight Cosmetics,49,37,165.0,59.0,380.0
Toyshine,49,17,279.0,69.0,2999.0
Unniyarcha,49,2,1499.0,499.0,4175.0
Himalaya,48,31,146.0,36.0,765.0
Phool,48,6,149.0,99.0,799.0
Rajdhani,48,37,95.5,37.0,188.0
Aksharveda,47,7,319.0,79.0,1600.0
Maple Press,47,7,125.0,89.0,739.0
Zulaxy,47,25,299.0,199.0,1199.0
Chandar,46,8,169.0,39.0,1149.0
Colgate,46,29,152.0,30.0,261.0
Orika,46,30,92.5,31.0,366.0
Too Yumm,46,24,49.0,24.0,110.0
24 Mantra Organic,45,17,220.0,37.0,803.0
GOBOULT,45,0,1499.0,299.0,9999.0
Mad Over Print,45,21,139.0,49.0,1299.0
Organic Tattva,45,33,102.0,37.0,1207.0
Am Safe-X,44,23,299.0,178.0,399.0
Kimirica,44,12,840.0,315.0,2961.0
Shree Rakhi,44,0,69.0,29.0,199.0
Storescent,44,27,299.0,149.0,999.0
Aurum,43,0,49.0,29.0,169.0
Dot & Key,43,21,374.0,199.0,1071.0
Epigamia,43,24,90.0,25.0,466.0
Fortune,43,32,181.0,38.0,1020.0
Home Sizzler,43,31,399.0,179.0,599.0
Bikano,42,26,115.5,26.0,441.0
Britannia,42,21,45.0,15.0,189.0
House of Quirk,42,6,799.0,199.0,2499.0
Raw Pressery,42,33,102.0,49.0,796.0
Shubhkart,42,18,72.0,12.0,539.0
Yellow Chimes,42,9,499.0,199.0,1662.0
Zavya,42,14,1774.0,689.0,5799.0
Cutting Edge,41,16,349.0,197.0,1333.0
La French,41,23,399.0,199.0,999.0
Patanjali,41,28,120.0,30.0,1075.0
trueBrowns,41,3,399.0,289.0,1199.0
Artstreet,40,10,249.0,149.0,1500.0
BeastLife,40,21,545.0,210.0,3999.0
Crax,40,26,34.0,20.0,95.0
Hammer,40,28,574.0,169.0,8999.0
Lakeer,40,29,255.0,199.0,389.0
Plum,40,15,459.0,90.0,1147.0
Dabur,39,19,168.0,48.0,427.0
Open Secret,39,15,99.0,27.0,1136.0
Prasuma,39,11,216.0,85.0,399.0
Teckle,39,3,299.0,199.0,1999.0
Bunsak,38,14,152.0,89.0,499.0
Fabindia,38,5,1199.0,199.0,1799.0
Fingerprint,38,3,157.0,79.0,899.0
IRIS,38,0,574.0,132.0,1949.0
Mirada,38,20,443.5,149.0,899.0
Aashirvaad,37,24,117.0,20.0,588.0
Enamor,37,0,749.0,272.0,1825.0
Evaa Enterprises,37,25,399.0,179.0,4299.0
Just Lil Things,37,0,299.0,129.0,509.0
Majestique,37,12,249.0,149.0,699.0
Nu Republic,37,6,799.0,94.0,6999.0
Sanfe,37,17,179.0,49.0,599.0
Whole Farm Grocery,37,23,133.0,20.0,537.0
Wonderchef,37,6,1200.0,149.0,5000.0
Ailkin,36,22,564.0,189.0,6299.0
CutTales,36,13,448.5,249.0,2999.0
Lavie,36,4,1149.0,460.0,4999.0
Maybelline New York,36,32,513.0,150.0,999.0
Sweet Karam Coffee,36,21,92.0,54.0,377.0
Yoga Bar,36,18,171.5,39.0,869.0
Zouk,36,3,1227.5,249.0,4283.0
Elle 18,35,24,62.0,62.0,345.0
FruBon,35,13,60.0,11.0,330.0
Go Zero,35,19,99.0,48.0,380.0
Tinums,35,14,229.0,139.0,493.0
Zeneme,35,8,369.0,199.0,1999.0
English Oven,34,17,50.0,20.0,175.0
MasterChow,34,12,133.5,38.0,293.0
Plix,34,9,542.5,60.0,1159.0
Satvik,34,1,199.0,49.0,749.0
Ugaoo,34,9,289.0,89.0,769.0
Ajmal,33,28,849.0,199.0,3999.0
Dove,33,21,324.0,62.0,618.0
Jimmy's,33,17,60.0,54.0,1151.0
Limestone,33,19,429.0,299.0,499.0
Mamaearth,33,14,299.0,92.0,677.0
Philips Lighting,33,3,349.0,69.0,1369.0
Shubhika,33,4,79.0,39.0,229.0
Wonderland Foods,33,15,299.0,39.0,971.0
Chheda's,32,13,55.0,29.0,189.0
Kidara,32,14,499.0,289.0,6999.0
McCain,32,15,160.5,88.0,347.0
New Dawn,32,16,259.0,105.0,700.0
One94Store,32,9,324.0,179.0,589.0
Shimmers,32,14,379.0,259.0,899.0
Slurrp Farm,32,12,177.0,34.0,299.0
The Whole Truth,32,23,254.5,79.0,5849.0
Underneat,32,5,1219.0,399.0,2299.0
Wingreens Farms,32,19,135.0,36.0,398.0
Avyaan Rakhi,31,0,99.0,49.0,259.0
Cpensus,31,21,499.0,249.0,1899.0
Fadman,31,14,289.0,229.0,799.0
Godrej Aer,31,9,99.0,63.0,529.0
Harpic,31,17,196.0,93.0,632.0
Mangat Ram,31,26,106.0,59.0,203.0
Nature Vit,31,5,199.0,150.0,799.0
Nilu's Collection,31,9,299.0,249.0,1500.0
O.P.I,31,23,523.0,484.0,1056.0
Parage,31,14,395.0,279.0,989.0
XYXX,31,4,499.0,180.0,999.0
Aakriti,30,15,245.0,125.0,349.0
Beauté Secrets,30,16,297.5,149.0,554.0
Blue Heaven,30,23,173.0,49.0,389.0
Cello,30,7,474.0,40.0,2139.0
