product_id,super_category,category,shelf
136945,Beauty & Personal Care,Baby Care,Baby Food
41995,Beauty & Personal Care,Baby Care,Baby Food
547971,Beauty & Personal Care,Baby Care,Baby Food
763528,Beauty & Personal Care,Baby Care,Baby Food
477405,Beauty & Personal Care,Baby Care,Baby Food
477580,Beauty & Personal Care,Baby Care,Baby Food
477406,Beauty & Personal Care,Baby Care,Baby Food
477548,Beauty & Personal Care,Baby Care,Baby Food
309634,Beauty & Personal Care,Baby Care,Baby Food
604175,Beauty & Personal Care,Baby Care,Baby Food
118576,Beauty & Personal Care,Baby Care,Baby Food
25012,Beauty & Personal Care,Baby Care,Baby Food
588232,Beauty & Personal Care,Baby Care,Baby Food
572047,Beauty & Personal Care,Baby Care,Baby Food
11469,Beauty & Personal Care,Baby Care,Baby Food
572045,Beauty & Personal Care,Baby Care,Baby Food
25009,Beauty & Personal Care,Baby Care,Baby Food
572058,Beauty & Personal Care,Baby Care,Baby Food
11471,Beauty & Personal Care,Baby Care,Baby Food
689066,Beauty & Personal Care,Baby Care,Baby Food
25770,Beauty & Personal Care,Baby Care,Baby Food
37172,Beauty & Personal Care,Baby Care,Baby Food
25771,Beauty & Personal Care,Baby Care,Baby Food
25772,Beauty & Personal Care,Baby Care,Baby Food
612492,Beauty & Personal Care,Baby Care,Baby Food
395408,Beauty & Personal Care,Baby Care,Baby Food
395409,Beauty & Personal Care,Baby Care,Baby Food
11416,Beauty & Personal Care,Baby Care,Baby Food
11417,Beauty & Personal Care,Baby Care,Baby Food
11418,Beauty & Personal Care,Baby Care,Baby Food
18170,Beauty & Personal Care,Baby Care,Baby Food
568041,Beauty & Personal Care,Baby Care,Baby Food
105654,Beauty & Personal Care,Baby Care,Baby Food
717150,Beauty & Personal Care,Baby Care,Baby Food
698039,Beauty & Personal Care,Baby Care,Baby Food
547100,Beauty & Personal Care,Baby Care,Baby Food
381940,Beauty & Personal Care,Baby Care,Baby Food
381928,Beauty & Personal Care,Baby Care,Baby Food
608696,Beauty & Personal Care,Baby Care,Baby Food
736435,Beauty & Personal Care,Baby Care,Baby Gear
664451,Beauty & Personal Care,Baby Care,Baby Gear
664604,Beauty & Personal Care,Baby Care,Baby Oral Care
545989,Beauty & Personal Care,Baby Care,Baby Oral Care
119750,Beauty & Personal Care,Baby Care,Baby Oral Care
492175,Beauty & Personal Care,Baby Care,Baby Oral Care
798465,Beauty & Personal Care,Baby Care,Baby Oral Care
668074,Beauty & Personal Care,Baby Care,Baby Oral Care
703615,Beauty & Personal Care,Baby Care,Baby Oral Care
668081,Beauty & Personal Care,Baby Care,Baby Oral Care
680232,Beauty & Personal Care,Baby Care,Baby Oral Care
703613,Beauty & Personal Care,Baby Care,Baby Oral Care
668865,Beauty & Personal Care,Baby Care,Baby Oral Care
716479,Beauty & Personal Care,Baby Care,Baby Oral Care
659720,Beauty & Personal Care,Baby Care,Baby Oral Care
770247,Beauty & Personal Care,Baby Care,Baby Oral Care
