super_category,category,shelf,n_products
Beauty & Personal Care,Baby Care,Baby Food,39
Beauty & Personal Care,Baby Care,Baby Gear,2
Beauty & Personal Care,Baby Care,Baby Oral Care,15
Beauty & Personal Care,Baby Care,Baby Shampoo & Soaps,26
Beauty & Personal Care,Baby Care,Baby Toys & Gifts,130
Beauty & Personal Care,Baby Care,Clothes & Accessories,136
Beauty & Personal Care,Baby Care,Diaper & Wipes,105
Beauty & Personal Care,Baby Care,Feeding Essentials,58
Beauty & Personal Care,Baby Care,Health &  Hygiene,44
Beauty & Personal Care,Baby Care,Mom Care Needs,3
Beauty & Personal Care,Baby Care,Skin & Hair Care,40
Beauty & Personal Care,Bath & Body,Bath & Beauty Gifts,64
Beauty & Personal Care,Bath & Body,Bathing Soaps,89
Beauty & Personal Care,Bath & Body,Body Treatment & Roll On,12
Beauty & Personal Care,Bath & Body,Conditioner,24
Beauty & Personal Care,Bath & Body,Face Cleaning,1
Beauty & Personal Care,Bath & Body,Fragrance & Talc,722
Beauty & Personal Care,Bath & Body,Handwash,57
Beauty & Personal Care,Bath & Body,Oral Care,153
Beauty & Personal Care,Bath & Body,Shampoo,51
Beauty & Personal Care,Bath & Body,Shower Gels & Scrubs,111
Beauty & Personal Care,Beauty & Cosmetics,Bath & Beauty Gifts,139
Beauty & Personal Care,Beauty & Cosmetics,Beauty Accessories,562
Beauty & Personal Care,Beauty & Cosmetics,Beauty E-Card,20
Beauty & Personal Care,Beauty & Cosmetics,"Bindi, Bangles & Others",65
Beauty & Personal Care,Beauty & Cosmetics,Blush & Highlighter,56
Beauty & Personal Care,Beauty & Cosmetics,Cleansers & Toners,2
Beauty & Personal Care,Beauty & Cosmetics,Foundation & Compact,116
Beauty & Personal Care,Beauty & Cosmetics,Kajal & Eyeliners,241
Beauty & Personal Care,Beauty & Cosmetics,Lipstick & Gloss ,14
Beauty & Personal Care,Beauty & Cosmetics,Nail Paints & Accessories,472
Beauty & Personal Care,Beauty & Cosmetics,Primer & Concealer,64
Beauty & Personal Care,Feminine Hygiene,Hair Removal,27
Beauty & Personal Care,Feminine Hygiene,Intimate Wash & Wipes,16
Beauty & Personal Care,Feminine Hygiene,Period Panty,39
Beauty & Personal Care,Feminine Hygiene,Sanitary Pads,90
Beauty & Personal Care,Feminine Hygiene,Tampons & Menstrual Cups,5
Beauty & Personal Care,Hair,Conditioner,15
Beauty & Personal Care,Hair,Hair Accessories,518
Beauty & Personal Care,Hair,Hair Colour,196
Beauty & Personal Care,Hair,Hair Oil & Cream,266
Beauty & Personal Care,Hair,Hair Serums,3
Beauty & Personal Care,Hair,Hair Styling,104
Beauty & Personal Care,Hair,Shampoo,93
Beauty & Personal Care,Health & Pharma,Adult Diapers,35
Beauty & Personal Care,Health & Pharma,Bandaid & Wound Care,110
Beauty & Personal Care,Health & Pharma,"Cough, Cold & Flu",73
Beauty & Personal Care,Health & Pharma,Eye & Ear Care,4
Beauty & Personal Care,Health & Pharma,Hangover Cure,1
Beauty & Personal Care,Health & Pharma,Health & Ortho Supports,77
Beauty & Personal Care,Health & Pharma,Health & Wellness E-Cards,25
Beauty & Personal Care,Health & Pharma,Masks & Sanitizers,59
Beauty & Personal Care,Health & Pharma,Oral Care,14
Beauty & Personal Care,Health & Pharma,Protein Supplements,241
Beauty & Personal Care,Health & Pharma,Stomach & Digestive Care,66
Beauty & Personal Care,Health & Pharma,Vitamins & Supplements,176
Beauty & Personal Care,Sexual Wellness,Adult Games,22
Beauty & Personal Care,Sexual Wellness,Condoms,57
Beauty & Personal Care,Sexual Wellness,Enhancers,18
Beauty & Personal Care,Sexual Wellness,Lubricants,20
Beauty & Personal Care,Sexual Wellness,Massagers,112
Beauty & Personal Care,Sexual Wellness,Test Kits,2
Beauty & Personal Care,Skin & Face,Acne & Blackhead Fixers,53
Beauty & Personal Care,Skin & Face,Body Lotions & Oils,38
Beauty & Personal Care,Skin & Face,Face Cleaning,153
Beauty & Personal Care,Skin & Face,Face Masks & Packs,188
Beauty & Personal Care,Skin & Face,Face Moisturisers,55
Beauty & Personal Care,Skin & Face,"Face Oil, Serum & Essence",209
Beauty & Personal Care,Skin & Face,Lip & Eye Care,172
Beauty & Personal Care,Skin & Face,Men's Grooming,91
Beauty & Personal Care,Skin & Face,Sunscreen,84
Beauty & Personal Care,Skin & Face,Toners & Mists,51
Beauty & Personal Care,Skin & Face,Women's Grooming,61
Grocery & Kitchen,"Atta, Rice & Dal",Atta,66
Grocery & Kitchen,"Atta, Rice & Dal","Besan, Sooji & Maida",22
Grocery & Kitchen,"Atta, Rice & Dal",Dal,139
Grocery & Kitchen,"Atta, Rice & Dal",Millet & Other Flours,84
Grocery & Kitchen,"Atta, Rice & Dal",Organic,8
Grocery & Kitchen,"Atta, Rice & Dal","Poha, Daliya & Other Grains",32
Grocery & Kitchen,"Atta, Rice & Dal","Rajma, Chhole & Others",76
Grocery & Kitchen,"Atta, Rice & Dal",Rice,133
Grocery & Kitchen,"Atta, Rice & Dal",Summer Specials,5
Grocery & Kitchen,Bakery & Biscuits,Baking Ingredients,63
Grocery & Kitchen,Bakery & Biscuits,Biscuit Gift Pack,7
Grocery & Kitchen,Bakery & Biscuits,Cakes & Rolls,124
Grocery & Kitchen,Bakery & Biscuits,Cookies,174
Grocery & Kitchen,Bakery & Biscuits,Cream Biscuits,69
Grocery & Kitchen,Bakery & Biscuits,Glucose & Marie,20
Grocery & Kitchen,Bakery & Biscuits,Healthy & Digestive,43
Grocery & Kitchen,Bakery & Biscuits,Rusks & Wafers,78
Grocery & Kitchen,Bakery & Biscuits,Sweet & Salty,27
Grocery & Kitchen,"Chicken, Meat & Fish",Chicken,39
Grocery & Kitchen,"Chicken, Meat & Fish",Eggs,47
Grocery & Kitchen,"Chicken, Meat & Fish",Exotic Meat,1
Grocery & Kitchen,"Chicken, Meat & Fish",Fish & Seafood,14
Grocery & Kitchen,"Chicken, Meat & Fish",Fresh Meat,3
Grocery & Kitchen,"Chicken, Meat & Fish",Frozen Non-Veg Snacks,99
Grocery & Kitchen,"Chicken, Meat & Fish",Mutton,4
Grocery & Kitchen,"Chicken, Meat & Fish",Plant Based Meat,3
Grocery & Kitchen,"Chicken, Meat & Fish","Sausage, Salami & Ham",49
Grocery & Kitchen,"Dairy, Bread & Eggs",Batter,25
Grocery & Kitchen,"Dairy, Bread & Eggs",Bread & Pav,185
Grocery & Kitchen,"Dairy, Bread & Eggs",Cheese & Butter,91
Grocery & Kitchen,"Dairy, Bread & Eggs",Cream & Whitener,19
Grocery & Kitchen,"Dairy, Bread & Eggs",Curd & Yogurt,106
Grocery & Kitchen,"Dairy, Bread & Eggs",Lassi & Milkshakes,137
Grocery & Kitchen,"Dairy, Bread & Eggs",Milk,38
Grocery & Kitchen,"Dairy, Bread & Eggs",Paneer & Tofu,38
Grocery & Kitchen,"Dairy, Bread & Eggs",Soy Milk & More,45
Grocery & Kitchen,Dry Fruits & Cereals,Corn Flakes & Kids Cereals,32
Grocery & Kitchen,Dry Fruits & Cereals,Dates,40
Grocery & Kitchen,Dry Fruits & Cereals,Dry Fruit Gift Packs,45
Grocery & Kitchen,Dry Fruits & Cereals,Dry Fruits,430
Grocery & Kitchen,Dry Fruits & Cereals,Dry Fruits Snacks,42
Grocery & Kitchen,Dry Fruits & Cereals,Muesli & Granola,38
Grocery & Kitchen,Dry Fruits & Cereals,Oats & Daliya,61
Grocery & Kitchen,Dry Fruits & Cereals,Organic & Premium,11
Grocery & Kitchen,Dry Fruits & Cereals,Seeds,76
Grocery & Kitchen,Dry Fruits & Cereals,Vermicelli & Poha,26
Grocery & Kitchen,Kitchenware & Appliances,Barware,21
Grocery & Kitchen,Kitchenware & Appliances,Bottles & Flasks,165
