crawling 307 leaves | page-limit 90 | concurrency 6 | +search sweep

[1/307 leaves] 311 products | 26 req (26 pages) | 19s | 16.62 prod/s | 14.0 prod/req | 0 x429 | rate 0.65/s     
[2/307 leaves] 682 products | 42 req (42 pages) | 43s | 15.72 prod/s | 17.6 prod/req | 0 x429 | rate 0.65/s     
[3/307 leaves] 811 products | 51 req (51 pages) | 57s | 14.20 prod/s | 17.1 prod/req | 0 x429 | rate 0.70/s     
[4/307 leaves] 1074 products | 66 req (66 pages) | 78s | 13.71 prod/s | 17.3 prod/req | 0 x429 | rate 0.70/s     
[5/307 leaves] 1360 products | 83 req (82 pages) | 107s | 12.71 prod/s | 17.6 prod/req | 1 x429 | rate 0.56/s     
[6/307 leaves] 1418 products | 85 req (84 pages) | 111s | 12.81 prod/s | 17.9 prod/req | 1 x429 | rate 0.56/s     
[7/307 leaves] 1535 products | 96 req (95 pages) | 130s | 11.79 prod/s | 17.1 prod/req | 1 x429 | rate 0.60/s     
[8/307 leaves] 1592 products | 98 req (97 pages) | 134s | 11.91 prod/s | 17.3 prod/req | 1 x429 | rate 0.60/s     
[9/307 leaves] 1622 products | 101 req (100 pages) | 138s | 11.71 prod/s | 17.1 prod/req | 1 x429 | rate 0.60/s     
[10/307 leaves] 1793 products | 110 req (109 pages) | 154s | 11.66 prod/s | 17.4 prod/req | 1 x429 | rate 0.60/s     
[11/307 leaves] 2022 products | 119 req (118 pages) | 169s | 12.00 prod/s | 18.2 prod/req | 1 x429 | rate 0.60/s     
[12/307 leaves] 2051 products | 120 req (119 pages) | 170s | 12.07 prod/s | 18.3 prod/req | 1 x429 | rate 0.60/s     
[13/307 leaves] 2089 products | 122 req (121 pages) | 173s | 12.06 prod/s | 18.4 prod/req | 1 x429 | rate 0.65/s     
[14/307 leaves] 2158 products | 125 req (124 pages) | 178s | 12.14 prod/s | 18.5 prod/req | 1 x429 | rate 0.65/s     
[15/307 leaves] 2158 products | 126 req (125 pages) | 179s | 12.04 prod/s | 18.4 prod/req | 1 x429 | rate 0.65/s     
[16/307 leaves] 2252 products | 128 req (127 pages) | 183s | 12.32 prod/s | 18.9 prod/req | 1 x429 | rate 0.65/s     
[17/307 leaves] 2506 products | 132 req (131 pages) | 189s | 13.28 prod/s | 20.3 prod/req | 1 x429 | rate 0.65/s     
